date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:29:07	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Sep%202023%2009:58:06%20GMT	https://www.dmhospital.org/robots.txt		(from )
15:29:07	127/127	---M--	302	error ('Found')	text/html	date:Sat,%2016%20Sep%202023%2009:58:06%20GMT	https://www.dmhospital.org/	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/index.html	(from )
15:29:07	58843/58843	---M--	200	added ('OK')	text/html	date:Sat,%2016%20Sep%202023%2009:58:06%20GMT	https://www.dmhospital.org/default	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/default.html	(from https://www.dmhospital.org/)
15:29:08	51262/51262	---M--	200	added ('OK')	image/x-icon	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/Img/favicon.ico	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/Img/favicon.ico	(from https://www.dmhospital.org/default)
15:29:08	368798/368798	---M-Z	200	added ('OK')	text/css	etag:%22099b55fce2d91:0%22	https://www.dmhospital.org/cms/Template/Default/css/style.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/style.css	(from https://www.dmhospital.org/default)
15:29:08	133186/133186	---M-Z	200	added ('OK')	text/css	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/css/bootstrap.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/bootstrap.css	(from https://www.dmhospital.org/default)
15:29:09	22702/22702	---M-Z	200	added ('OK')	text/css	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/css/bootstrap-responsive.min.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/bootstrap-responsive.min.css	(from https://www.dmhospital.org/default)
15:29:09	20701/20701	---M-Z	200	added ('OK')	text/css	etag:%22803fcd9869c3d81:0%22	https://www.dmhospital.org/cms/Template/Default/css/sssstyle.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/sssstyle.css	(from https://www.dmhospital.org/default)
15:29:09	12550/12550	---M-Z	200	added ('OK')	text/css	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/css/dmhtabs.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/dmhtabs.css	(from https://www.dmhospital.org/default)
15:29:10	9588/9588	---M-Z	200	added ('OK')	text/css	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/css/dcpl.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/dcpl.css	(from https://www.dmhospital.org/default)
15:29:10	7577/7577	---M-Z	200	added ('OK')	text/css	etag:%220be6b63c6b7d41:0%22	https://www.dmhospital.org/cms/Template/Default/css/Testimonial.css	D:/PRogramming/Copied%20Websites/denantah/www.dmhospital.org/cms/Template/Default/css/Testimonial.css	(from https://www.dmhospital.org/default)
